scene_id,scene_family,truth_blocked,n,predicted_blocked,correct,accuracy
scene_fc_blocked_v01,FC_BLOCKED,False,60,0,60,1.0
scene_fc_blocked_v02,FC_BLOCKED,False,60,0,60,1.0
scene_fc_blocked_v03,FC_BLOCKED,False,60,0,60,1.0
scene_fc_blocked_v04,FC_BLOCKED,False,60,0,60,1.0
scene_fc_blocked_v05,FC_BLOCKED,True,60,0,0,0.0
scene_fc_clear_v01,FC_CLEAR,False,60,0,60,1.0
scene_fc_clear_v02,FC_CLEAR,False,60,0,60,1.0
scene_fc_clear_v03,FC_CLEAR,False,60,0,60,1.0
scene_fc_clear_v04,FC_CLEAR,False,60,0,60,1.0
scene_fc_clear_v05,FC_CLEAR,False,60,0,60,1.0
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,True,60,4,4,0.06666666666666667
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,True,60,0,0,0.0
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,True,60,2,2,0.03333333333333333
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,True,60,17,17,0.2833333333333333
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,True,60,3,3,0.05
scene_rotate_v01,ROTATE,True,60,23,23,0.38333333333333336
scene_rotate_v02,ROTATE,True,60,3,3,0.05
scene_rotate_v03,ROTATE,True,60,14,14,0.23333333333333334
scene_rotate_v04,ROTATE,True,60,0,0,0.0
scene_rotate_v05,ROTATE,True,60,9,9,0.15
scene_translate_v01,TRANSLATE,True,60,3,3,0.05
scene_translate_v02,TRANSLATE,True,60,1,1,0.016666666666666666
scene_translate_v03,TRANSLATE,True,60,3,3,0.05
scene_translate_v04,TRANSLATE,True,60,31,31,0.5166666666666667
scene_translate_v05,TRANSLATE,True,60,7,7,0.11666666666666667
