condition,resolution,name,scene_family,run_count,candidate_count,candidate_accuracy,candidate_balanced_accuracy,occlusion_recall,non_occlusion_specificity,full_output_exact_match_accuracy,any_occlusion_accuracy
C0,,Numbered RGB only,TRANSLATE,25,70,0.7428571428571429,0.64,0.28,1.0,0.28,0.28
C0,,Numbered RGB only,ROTATE,25,105,0.819047619047619,0.62,0.24,1.0,0.24,0.24
C0,,Numbered RGB only,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
C0,,Numbered RGB only,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C0,,Numbered RGB only,FC_BLOCKED,25,75,1.0,,,1.0,1.0,1.0
C1,,R Numeric,TRANSLATE,25,70,0.6428571428571429,0.5,0.0,1.0,0.0,0.0
C1,,R Numeric,ROTATE,25,105,0.8095238095238095,0.6,0.2,1.0,0.2,0.2
C1,,R Numeric,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
C1,,R Numeric,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C1,,R Numeric,FC_BLOCKED,25,75,1.0,,,1.0,1.0,1.0
C2,D4,R Qualitative D4,TRANSLATE,25,70,0.6714285714285714,0.54,0.08,1.0,0.08,0.08
C2,D4,R Qualitative D4,ROTATE,25,105,0.8095238095238095,0.6,0.2,1.0,0.2,0.2
C2,D4,R Qualitative D4,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
C2,D4,R Qualitative D4,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C2,D4,R Qualitative D4,FC_BLOCKED,25,75,1.0,,,1.0,1.0,1.0
C2,D8,R Qualitative D8,TRANSLATE,25,70,0.7,0.58,0.16,1.0,0.16,0.16
C2,D8,R Qualitative D8,ROTATE,25,105,0.8095238095238095,0.6,0.2,1.0,0.2,0.2
C2,D8,R Qualitative D8,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
C2,D8,R Qualitative D8,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C2,D8,R Qualitative D8,FC_BLOCKED,25,75,1.0,,,1.0,1.0,1.0
C3,D4,F Numeric D4,TRANSLATE,25,70,0.6857142857142857,0.56,0.12,1.0,0.12,0.12
C3,D4,F Numeric D4,ROTATE,25,105,0.7904761904761904,0.5875,0.2,0.975,0.16,0.2
C3,D4,F Numeric D4,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
C3,D4,F Numeric D4,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C3,D4,F Numeric D4,FC_BLOCKED,25,75,1.0,,,1.0,1.0,1.0
C3,D8,F Numeric D8,TRANSLATE,25,70,0.7,0.58,0.16,1.0,0.16,0.16
C3,D8,F Numeric D8,ROTATE,25,105,0.8571428571428571,0.7,0.4,1.0,0.4,0.4
C3,D8,F Numeric D8,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
C3,D8,F Numeric D8,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C3,D8,F Numeric D8,FC_BLOCKED,25,75,1.0,,,1.0,1.0,1.0
C4,D4,F Qualitative D4,TRANSLATE,25,70,0.6571428571428571,0.52,0.04,1.0,0.04,0.04
C4,D4,F Qualitative D4,ROTATE,25,105,0.8380952380952381,0.6737500000000001,0.36,0.9875,0.32,0.36
C4,D4,F Qualitative D4,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
C4,D4,F Qualitative D4,FC_CLEAR,25,75,1.0,,,1.0,1.0,1.0
C4,D4,F Qualitative D4,FC_BLOCKED,25,75,1.0,,,1.0,1.0,1.0
C4,D8,F Qualitative D8,TRANSLATE,25,70,0.7,0.58,0.16,1.0,0.16,0.16
C4,D8,F Qualitative D8,ROTATE,25,105,0.8285714285714286,0.64,0.28,1.0,0.28,0.28
C4,D8,F Qualitative D8,LIFT_AND_RELOCATE,25,120,0.7916666666666666,0.5,0.0,1.0,0.0,0.0
